 ntier-ADO balls     j1,    j2,    j3,    ....,    jn   

 isgn  iorbs  ispin  ialf  icor  itype  mp
 num:                     1
       irow           icol            Re[rho]                 Im[rho]  
        10             9         -0.001818924075         -0.005751840662
         8            10          0.000000000000          0.000000000000
        12            11         -0.001818924075          0.005751840662
        14            13         -0.000060504107         -0.000562958038
        16            15         -0.000060504107          0.000562958038
 
 ntier-ADO balls     j1,    j2,    j3,    ....,    jn   
                      9
 isgn  iorbs  ispin  ialf  icor  itype  mp
   1     1      1      1     9     0     1
 num:                    10
       irow           icol            Re[rho]                 Im[rho]  
         2             1          0.001768280842          0.000665617263
         4             3          0.001768280842         -0.000665617263
         6             5          0.018624119453          0.006125057348
         8             7          0.018624119452         -0.006125057348
         7             9          0.000000000001          0.000000000000
        10             9          0.018624119452          0.006125057348
         8            10          0.000000000001         -0.000000000000
        12            11          0.018624119453         -0.006125057348
        14            13          0.001768280842          0.000665617263
        16            15          0.001768280842         -0.000665617263
 
 ntier-ADO balls     j1,    j2,    j3,    ....,    jn   
                     10
 isgn  iorbs  ispin  ialf  icor  itype  mp
   1     1      1      1    10     0     2
 num:                    11
       irow           icol            Re[rho]                 Im[rho]  
         2             1         -0.001659412762         -0.001407552076
         4             3         -0.001659412762          0.001407552076
         6             5         -0.018112016353         -0.012549226883
         8             7         -0.018112016352          0.012549226882
         7             9         -0.000000000001         -0.000000000000
        10             9         -0.018112016352         -0.012549226882
         8            10         -0.000000000001          0.000000000000
        12            11         -0.018112016353          0.012549226883
        14            13         -0.001659412762         -0.001407552076
        16            15         -0.001659412762          0.001407552076
 
 ntier-ADO balls     j1,    j2,    j3,    ....,    jn   
                     11
 isgn  iorbs  ispin  ialf  icor  itype  mp
   1     1      1      1    11     0     1
 num:                    12
       irow           icol            Re[rho]                 Im[rho]  
         2             1         -0.000000010216         -0.000000014864
         4             3         -0.000000010216          0.000000014864
         6             5         -0.000000127704         -0.000000146615
         8             7         -0.000000127704          0.000000146615
         7             9         -0.000000000000         -0.000000000000
        10             9         -0.000000127704         -0.000000146615
         8            10         -0.000000000000          0.000000000000
        12            11         -0.000000127704          0.000000146615
        14            13         -0.000000010216         -0.000000014864
        16            15         -0.000000010216          0.000000014864
 
 ntier-ADO balls     j1,    j2,    j3,    ....,    jn   
                     12
 isgn  iorbs  ispin  ialf  icor  itype  mp
   1     1      1      1    12     0     2
 num:                    13
