      0.2000    0.869099E-003   0.207530E-001   0.207530E-001   0.869099E-003   0.207530E-001   0.207625E+000   0.207625E+000   0.207530E-001   0.207530E-001   0.207625E+000   0.207625E+000   0.207530E-001   0.869099E-003   0.207530E-001   0.207530E-001   0.869099E-003
      0.2100    0.869365E-003   0.207541E-001   0.207541E-001   0.869365E-003   0.207541E-001   0.207622E+000   0.207622E+000   0.207541E-001   0.207541E-001   0.207622E+000   0.207622E+000   0.207541E-001   0.869365E-003   0.207541E-001   0.207541E-001   0.869365E-003
      0.2200    0.869610E-003   0.207552E-001   0.207552E-001   0.869610E-003   0.207552E-001   0.207620E+000   0.207620E+000   0.207552E-001   0.207552E-001   0.207620E+000   0.207620E+000   0.207552E-001   0.869610E-003   0.207552E-001   0.207552E-001   0.869610E-003
      0.2300    0.869836E-003   0.207561E-001   0.207561E-001   0.869836E-003   0.207561E-001   0.207618E+000   0.207618E+000   0.207561E-001   0.207561E-001   0.207618E+000   0.207618E+000   0.207561E-001   0.869836E-003   0.207561E-001   0.207561E-001   0.869836E-003
      0.2400    0.870043E-003   0.207570E-001   0.207570E-001   0.870043E-003   0.207570E-001   0.207616E+000   0.207616E+000   0.207570E-001   0.207570E-001   0.207616E+000   0.207616E+000   0.207570E-001   0.870043E-003   0.207570E-001   0.207570E-001   0.870043E-003
      0.2500    0.870231E-003   0.207578E-001   0.207578E-001   0.870231E-003   0.207578E-001   0.207614E+000   0.207614E+000   0.207578E-001   0.207578E-001   0.207614E+000   0.207614E+000   0.207578E-001   0.870231E-003   0.207578E-001   0.207578E-001   0.870231E-003
      0.2600    0.870401E-003   0.207585E-001   0.207585E-001   0.870401E-003   0.207585E-001   0.207613E+000   0.207613E+000   0.207585E-001   0.207585E-001   0.207613E+000   0.207613E+000   0.207585E-001   0.870401E-003   0.207585E-001   0.207585E-001   0.870401E-003
      0.2700    0.870553E-003   0.207591E-001   0.207591E-001   0.870553E-003   0.207591E-001   0.207611E+000   0.207611E+000   0.207591E-001   0.207591E-001   0.207611E+000   0.207611E+000   0.207591E-001   0.870553E-003   0.207591E-001   0.207591E-001   0.870553E-003
      0.2800    0.870688E-003   0.207597E-001   0.207597E-001   0.870688E-003   0.207597E-001   0.207610E+000   0.207610E+000   0.207597E-001   0.207597E-001   0.207610E+000   0.207610E+000   0.207597E-001   0.870688E-003   0.207597E-001   0.207597E-001   0.870688E-003
      0.2900    0.870806E-003   0.207602E-001   0.207602E-001   0.870806E-003   0.207602E-001   0.207609E+000   0.207609E+000   0.207602E-001   0.207602E-001   0.207609E+000   0.207609E+000   0.207602E-001   0.870806E-003   0.207602E-001   0.207602E-001   0.870806E-003
