      0.3800    0.100000E-001  -0.100000E-001   0.799628E+002  -0.925074E+002  -0.125446E+002   0.499946E+000   0.500000E+000   0.999946E+000
      0.3900    0.100000E-001  -0.100000E-001   0.801656E+002  -0.922243E+002  -0.120587E+002   0.499945E+000   0.500000E+000   0.999945E+000
      0.4000    0.100000E-001  -0.100000E-001   0.803640E+002  -0.919442E+002  -0.115802E+002   0.499944E+000   0.500000E+000   0.999945E+000
      0.4100    0.100000E-001  -0.100000E-001   0.805579E+002  -0.916670E+002  -0.111090E+002   0.499943E+000   0.500001E+000   0.999944E+000
      0.4200    0.100000E-001  -0.100000E-001   0.807474E+002  -0.913928E+002  -0.106454E+002   0.499943E+000   0.500001E+000   0.999943E+000
      0.4300    0.100000E-001  -0.100000E-001   0.809326E+002  -0.911218E+002  -0.101892E+002   0.499942E+000   0.500001E+000   0.999943E+000
      0.4400    0.100000E-001  -0.100000E-001   0.811134E+002  -0.908539E+002  -0.974050E+001   0.499941E+000   0.500001E+000   0.999942E+000
      0.4500    0.100000E-001  -0.100000E-001   0.812899E+002  -0.905893E+002  -0.929935E+001   0.499941E+000   0.500001E+000   0.999941E+000
      0.4600    0.100000E-001  -0.100000E-001   0.814622E+002  -0.903280E+002  -0.886572E+001   0.499940E+000   0.500001E+000   0.999941E+000
      0.4700    0.100000E-001  -0.100000E-001   0.816304E+002  -0.900700E+002  -0.843961E+001   0.499940E+000   0.500001E+000   0.999940E+000
      0.4800    0.100000E-001  -0.100000E-001   0.817944E+002  -0.898154E+002  -0.802100E+001   0.499939E+000   0.500001E+000   0.999940E+000
      0.4900    0.100000E-001  -0.100000E-001   0.819544E+002  -0.895643E+002  -0.760986E+001   0.499938E+000   0.500001E+000   0.999939E+000
      0.5000    0.100000E-001  -0.100000E-001   0.821105E+002  -0.893166E+002  -0.720616E+001   0.499938E+000   0.500001E+000   0.999939E+000
      0.5100    0.100000E-001  -0.100000E-001   0.822626E+002  -0.890725E+002  -0.680986E+001   0.499937E+000   0.500001E+000   0.999938E+000
      0.5200    0.100000E-001  -0.100000E-001   0.824109E+002  -0.888318E+002  -0.642092E+001   0.499937E+000   0.500001E+000   0.999938E+000
